account,artist,song_name,song_rank
steven-yang,陈涌海,张木生,0
steven-yang,李双泽,老鼓手,0
steven-yang,黄舒骏,马不停蹄的忧伤,0
steven-yang,万能青年旅店,杀死那个石家庄人,0
茶餌斯,Loquat,Swingset Chain,0
茶餌斯,Radical Face,The Crooked Kind,0
茶餌斯,OneRepublic,Marchin On,0
茶餌斯,OneRepublic,Secrets,0
茶餌斯,万能青年旅店,秦皇岛,0
茶餌斯,孙燕姿,克卜勒,4
茶餌斯,轮回,满江红,0
茶餌斯,Gossip,Heavy Cross,0
茶餌斯,Nils Frahm,Hammers,0
茶餌斯,Vitamin C,Graduation (Friends Forever),0
茶餌斯,The Fray,How to Save a Life,0
茶餌斯,Meredith Brooks,Bitch,0
茶餌斯,Avicii,Wake Me Up,0
茶餌斯,Silbermond ,Das Beste,5
茶餌斯,张广天,玻璃女人,0
茶餌斯,Scissor Sisters,Let’s Have a Kiki,0
茶餌斯,Black Eyed Peas,The Apl Song,0
茶餌斯,Lady & Bird,Suicide Is Painless,0
茶餌斯,MOCCA,Let Me Go,0
茶餌斯,Neon Trees,Animal,0
茶餌斯,陈柏宇,尊严,5
茶餌斯,Nightwish,Walking in the Air,0
茶餌斯,Nightwish,Moondance,0
茶餌斯,Nightwish,Sleeping Sun,0
茶餌斯,牯岭街少年合唱团,Why,0
steven-yang,黄舒骏,马不停蹄的忧伤,0
茶餌斯,Silbermond ,Das Beste,5
云凌,July,In Love,0
云凌,Owl Eyes,Faces,0
云凌,王铮亮,时间都去哪儿了,0
云凌,平沢進,白虎野の娘(パプリカ・エンディングテーマ),0
云凌,手嶌葵,金色野原,0
云凌,老狼,晴朗,0
云凌,黎明,今生不再,0
云凌,坂本龍一,Solitude ,0
云凌,Beyond,喜欢你,0
云凌,羽·泉,最美,0
云凌,Younha,별에서 온 그대,0
云凌,手嶌葵,金色野原 (カラオケ),0
云凌,手嶌葵,虹,0
云凌,陈绮贞,雨天的尾巴 (沪尾小情歌),0
云凌,庾澄庆,情非得已,0
云凌,陈绮贞,表面的和平,0
云凌,陈绮贞,鱼,0
云凌,陈洁仪,心动,0
云凌,黄大炜,过得好不好,0
云凌,陈升,然而,0
云凌,Savage Garden,Promises,0
云凌,陈升,像父亲那样的人,0
云凌,赵增熹,New Year's Eve,0
云凌,彭佳慧,一九九几的他,0
云凌,Barrington Pheloung,"Suite No. 2 in B minor for Flute & Strings, BWV 1067 - I. Overture (Instrumental)",0
王珂Benjamin,Straight No Chaser,I'm Yours / Somewhere Over The Rainbow,0
王珂Benjamin,Sarah Brightman,Scéne d'Amour,0
王珂Benjamin,DJ OKAWARI,Flower Dance,0
王珂Benjamin,Libera,Ave Maria,0
王珂Benjamin,Shardad Rohani,Connie's Butterfly ,0
王珂Benjamin,Luther Vandross,Endless Love,0
王珂Benjamin,Sheryl Crow,Always on Your Side,0
王珂Benjamin,Mariah Carey,Whenever You Call,0
王珂Benjamin,Lady Antebellum,Just A Kiss,0
王珂Benjamin,Roberta Flack,Tonight I Celebrate My Love,0
王珂Benjamin,Gareth Gates,Anyone of Us (Stupid Mistake),0
王珂Benjamin,Kelly Clarkson,Because Of You,0
王珂Benjamin,Westlife,When You Tell Me That You Love Me,0
王珂Benjamin,Deutschland Sucht den Superstar,Cry on My Shoulder,0
王珂Benjamin,Savannah Outen,Two Is Better Than One,0
王珂Benjamin,Hugh Grant ,Way Back Into Love,0
line221b,Audrey Hepburn,Moon River,0
line221b,Orsten,Fleur Blanche,0
line221b,Ludovico Einaudi,Nuvole bianche,0
云凌,黄莺莺,葬心,5
stray,Bon Jovi,Bells of Freedom,5
stray,AYUTRICA,朱き狂乱の輪舞（ロンド）,5
stray,Billy Talent,Devil in a Midnight Mass,5
stray,Children of Bodom,Children of Decadence,5
stray,Children of Bodom,Follow the Reaper,5
stray,片霧烈火,camera9_basement,5
stray,鷺巣詩郎,L’Avenement_15,5
stray,澤野弘之,βίος,5
stray,aki,壊されたお守り ,5
stray,転少女,リアメロ,5
stray,川畑要,breakthrough,5
stray,I's CUBE,羽     ,5
stray,吉野裕司,旅の途中,5
stray,コミネリサ,Resuscitated Hope,5
stray,弟の姉,奈落の花,5
stray,初音ミク,むかしむかしのきょうのぼく,5
stray,歌ってみた,思い出はおっくせんまん!(JAM Project version),5
stray,senya,Opposite World,5
stray,まらしぃ,ナイトオブナイツ,5
stray,Rhyth.,しゃん・だら・りん♪,5
stray,発熱巫女～ず,Pages,5
stray,ピノキオP,腐れ外道とチョコレゐト,5
st
