account,artist,song_name,song_rank
Snowy,Christopher,Remind You,0
Snowy,Christopher,Nympho,0
Snowy,Daniel,I Reach for You,0
Snowy,Christian TY,Never Easy,0
Snowy,"Juan ""Pipe"" Perez",City of Blue,0
Snowy,Asleigh Elliott,Gone,0
Snowy,Kristen Voorhies,You Are My Wings,0
Snowy,Raquel Castro,Diary,0
Snowy,Raquel Castro,Game Over,0
Snowy,Shanna Crooks,Wakin' Up To Love,0
Snowy,Lexi St. George,Dancing to the Rhythm,0
Snowy,Antonia,Hurricane,0
Snowy,Sitara Kanhai,It's Just Something,0
Snowy,Bryan Rice,I Choose U,0
Snowy,Tiffany Desrosiers,Til I Get Over You,0
Snowy,Lea Michele,The Bells,0
Snowy,Lea Michele,Gone Tonight,0
Snowy,LYn,Song For Love (Kor Ver.),0
Snowy,Megan Nicole,Never Wanna Let You Go,0
Snowy,Madison Marie,Alien,0
Snowy,Amy & Ellen,Glitter Stained Dress,0
Snowy,Romina Mamo,Addictive,0
Snowy,Nick Aquilino,Perfect,0
Snowy,dUSTIN tAVELLA,Charity,0
Snowy,Lauren Christoff,Rescue Me,0
老李叹花,万晓利,伟大的,0
老李叹花,阿肆,紫卿,0
老李叹花,赵雷,背影,0
老李叹花,赵雷,不开的唇,0
老李叹花,赵雷,画,0
老李叹花,赵雷,未给姐姐递出的信,0
老李叹花,阿肆,预谋邂逅,0
老李叹花,许巍,蓝莲花,0
老李叹花,许巍,时光,0
老李叹花,阿肆,我在人民广场吃炸鸡,0
老李叹花,阿肆,有女朋友别忘了请我吃饭,0
老李叹花,万能青年旅店,洋鸟消夏录,0
→雅痞,Kelly Clarkson,Because Of You,0
→雅痞,Leona ,Bleeding Love,0
→雅痞,Take That,Babe,0
→雅痞,Era,The Mass,0
→雅痞,이효리,Anyclub,0
→雅痞,Mars Lasar,Amy's Lullaby II,0
→雅痞,Enrique Iglesias,Tired of Being Sorry,0
→雅痞,Atomic Kitten,Nothing In The World,0
→雅痞,张玉华,原谅,0
→雅痞,Natasha Thomas,Save Your Kisses for Me ,0
→雅痞,Brian McKnight,Back at One,0
→雅痞,Enrique Iglesias,Don't Turn Off the Lights,0
→雅痞,Solid Base,You and Me,0
→雅痞,LaFee,On The First Night,0
→雅痞,Groove Coverage,Only Love,0
→雅痞,Declan Galbraith,An Angel,0
T✦seimei,Bert Jansch,The Black Swan,0
T✦seimei,Yann Tiersen,La Longue Route,0
T✦seimei,新垣結衣,小さな恋のうた,0
T✦seimei,The Best Pessimist,Oceanica,0
T✦seimei,吴雪颖,just like an angel,0
T✦seimei,The Swell Season,Leave,0
T✦seimei,Vashti Bunyan,Rainbow River,0
T✦seimei,Glen Hansard,Sleeping,0
T✦seimei,ASHRAM,Sparks,0
T✦seimei,Raujika,Tell Them I Love You,0
T✦seimei,Raujika,Cry More,0
T✦seimei,Raujika,Start,0
T✦seimei,横山克,rainy day,0
T✦seimei,松たか子,武蔵野,0
T✦seimei,Kristen Anderson-Lopez,More Than Just the Spare (Outtake),0
T✦seimei,Kristen Anderson-Lopez,Love Is An Open Door (Demo),0
T✦seimei,Kristen Anderson-Lopez,For the First Time in Forever (Demo),0
T✦seimei,Demi Lovato,Let It Go,0
T✦seimei,Kristen Bell,For The First Time In Forever (Reprise),0
T✦seimei,Idina Menzel,Let It Go,0
